Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-06-06;1.102,12;1.106,47;1.100,08;1.102,08;;
2018-06-05;1.106,98;1.113,88;1.105,12;1.110,48;;
2018-06-04;1.101,77;1.105,66;1.099,65;1.100,84;;
2018-06-01;1.113,4;1.114,41;1.106,58;1.108,87;;
2018-05-31;1.112,5;1.116,9;1.109,71;1.109,75;;
2018-05-30;1.116,51;1.121,22;1.114,21;1.118,84;;
2018-05-29;1.123,19;1.130,44;1.119,87;1.123,74;;
2018-05-28;1.116,16;1.116,58;1.112,66;1.114,83;;
2018-05-25;1.117,14;1.120,17;1.113,53;1.114,26;;
2018-05-24;1.103,41;1.114;1.102,52;1.112,61;;
2018-05-23;1.102,83;1.108,53;1.100,7;1.104,77;;
2018-05-22;1.096,27;1.098,65;1.092,6;1.094,96;;
2018-05-21;1.096,93;1.099,78;1.090,42;1.099,35;;
2018-05-18;1.095,51;1.098,51;1.091,92;1.097,1;;
2018-05-17;1.091,91;1.094,29;1.089,33;1.093,54;;
2018-05-16;1.099,19;1.099,44;1.091,81;1.095,54;;
2018-05-14;1.102,91;1.103,01;1.095,39;1.095,63;;
2018-05-11;1.107,31;1.111,07;1.104,89;1.105,27;;
2018-05-10;1.105,08;1.113,45;1.103,75;1.112,46;;
2018-05-09;1.106,64;1.108,86;1.098,2;1.105,13;;
2018-05-08;1.107,17;1.109,89;1.100,46;1.107,38;;
2018-05-07;1.107,04;1.108,11;1.100,9;1.104,25;;
2018-05-04;1.096,61;1.098,73;1.093,35;1.098,73;;
2018-05-03;1.088,44;1.098,68;1.088,44;1.094,25;;
2018-05-02;1.086,61;1.093,71;1.086,13;1.086,79;;
2018-04-30;1.096,49;1.096,77;1.085,01;1.089;;
2018-04-27;1.091,34;1.097,91;1.090,16;1.096,47;;
2018-04-26;1.087,53;1.090,27;1.081,14;1.082,34;;
2018-04-25;1.091,63;1.093,06;1.082,6;1.086,09;;
2018-04-24;1.084,64;1.091,2;1.083,17;1.089,38;;
2018-04-23;1.089,66;1.090,91;1.080,74;1.082,58;;
